icao_code,iata_code,name,city,country_code
SBUF,PAV,Paulo Afonso Airport,Paulo Afonso,BR
SBUG,URG,Rubem Berta Airport,Uruguaiana,BR
SBUL,UDI,Ten. Cel. Aviador César Bombonato Airport,Uberlândia,BR
SBUR,UBA,Mário de Almeida Franco Airport,Uberaba,BR
SBVG,VAG,Major Brigadeiro Trompowsky Airport,Varginha,BR
SBVH,BVH,Brigadeiro Camarão Airport,Vilhena,BR
SBVT,VIX,Eurico de Aguiar Salles International Airport,Vitória,BR
SBYA,,Iauaretê Airport,São Gabriel da Cachoeira,BR
SBYS,,Campo Fontenelle,Pirassununga,BR
SBZM,IZA,Presidente Itamar Franco Airport,Juiz de Fora,BR
SCAB,,El Alba Airport,La Lumbrera,CL
SCAC,ZUD,Pupelde Airport,Ancud,CL
SCAE,,El Buitre Airport,Arica,CL
SCAH,,Tolquien Airport,Achao,CL
SCAI,,Curacautín Airport,Curacautín,CL
SCAK,,Atacalco Airport,Recinto,CL
SCAL,,Valchac Airport,Cochrane,CL
SCAN,LOB,San Rafael Airport,Los Andes,CL
SCAO,,Palo Alto Airport,Lolol,CL
SCAP,WAP,Alto Palena Airport,Palena,CL
SCAQ,,Arquilhué Airport,Lago Ranco,CL
SCAR,ARI,Chacalluta International Airport,Arica,CL
SCAS,WPA,Cabo Juan Román Airfield,Puerto Aysén,CL
SCAT,CPO,Desierto de Atacama Airport,Copiapo,CL
SCAU,,Juan Enrique Airport,Paine,CL
SCAY,,Ayacara Airport,Ayacara,CL
SCAZ,,Azopardo Airport,Timaukel,CL
SCBA,BBA,Balmaceda Airport,Balmaceda,CL
SCBE,TOQ,Barriles Airport,Tocopilla,CL
SCCC,CCH,Chile Chico Airport,Chile Chico,CL
SCCF,CJC,El Loa Airport,Calama,CL
SCCH,YAI,Gral. Bernardo O´Higgins Airport,Chillan,CL
SCCI,PUQ,President Carlos Ibáñez International Airport,Punta Arenas,CL
SCCV,,Curacaví Airport,Curacaví,CL
